order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
76,396,195,Chicken Tikka Roll,2025-02-23,15:16:43,Delivered,3824.45
77,471,167,Paper Roast Dosa,2025-02-14,15:26:30,Delivered,3067.96
78,75,180,Guntur Idli,2025-03-17,02:23:38,Delivered,1641.84
79,190,172,Chicken Tikka Roll,2025-01-04,10:01:45,Delivered,3393.55
80,53,154,Filter Coffee,2025-06-16,18:29:49,On the way,2318.69
81,327,200,Guntur Idli,2025-03-09,14:33:35,Delivered,1696.78
82,194,132,Grill Chicken,2024-11-24,22:41:19,Delivered,3397.71
83,94,132,Chicken Biryani,2024-03-10,02:43:45,Preparing,322.45
84,397,148,Fish Biryani,2024-06-22,17:24:30,Delivered,1171.59
85,263,151,Bisi Bele Bath,2025-06-17,14:01:16,Delivered,1213.31
86,416,176,Fish Biryani,2024-10-23,07:28:24,Delivered,3081.18
87,91,175,Chicken Biryani,2024-05-15,05:56:18,Preparing,3971.34
88,361,136,Peri Peri Burger,2024-02-26,04:05:01,Delivered,1517.21
89,20,125,Ferrero Rocher Shake,2024-10-24,17:56:41,Delivered,3013.54
90,28,140,Mutton Samosa,2024-04-11,08:07:40,Cancelled,2839.48
91,454,147,Ferrero Rocher Shake,2025-04-21,00:48:12,Delivered,3787.36
92,424,142,Double Masala Biryani,2024-01-25,13:48:51,Delivered,1906.5
93,97,179,Poori Masala,2025-05-23,13:11:10,Delivered,2088.68
94,161,180,Family Combo,2024-03-07,17:04:38,Delivered,848.15
95,140,114,Paper Roast Dosa,2024-12-13,11:13:41,Cancelled,437.33
96,351,124,Lamb Burger,2024-09-19,06:18:04,Delivered,712.56
97,186,155,Chicken Steak,2025-09-28,18:14:36,Delivered,3101.98
98,239,116,Family Combo,2025-03-30,21:07:03,Delivered,1936.15
99,246,144,Sizzler,2024-12-20,20:40:18,Delivered,2785.78
100,297,104,Chicken Biryani,2024-07-28,01:31:06,Delivered,3438.84
101,327,144,Mutton Samosa,2025-05-16,18:28:22,Delivered,1821.56
102,77,197,Upma,2024-11-02,21:09:37,Delivered,322.17
103,111,189,Mutton Samosa,2025-06-04,17:34:37,Delivered,508.12
104,204,197,Rava Idli,2025-06-06,07:30:50,Delivered,2204.49
105,389,149,Family Combo,2025-02-07,18:48:30,Delivered,2548.04
106,489,180,Grill Chicken,2025-07-30,21:07:38,Delivered,2754.03
107,493,108,Ghee Roast Dosa,2024-03-10,16:14:24,Delivered,146.41
108,107,198,Poori Masala,2025-04-02,20:27:15,Cancelled,3994.62
109,489,130,Seekh Kebab,2025-07-20,12:18:50,On the way,1620.5
110,479,173,Ferrero Rocher Shake,2025-02-14,18:11:22,Delivered,1548.01
111,406,198,Rava Idli,2024-11-16,18:03:48,Delivered,3647.94
112,261,151,Mutton Seekh Roll,2024-10-17,02:19:06,Delivered,478.25
113,66,147,All American Burger,2024-07-31,07:56:44,Delivered,3250.14
114,292,124,Double Masala Biryani,2025-07-31,16:47:17,Delivered,2681.42
115,171,108,Mutton Biryani,2024-10-21,07:48:49,Delivered,3684.66
116,496,194,Fish Biryani,2025-03-25,19:07:44,Delivered,850.89
117,7,177,Tasting Menu,2024-04-20,01:08:18,On the way,509.03
118,192,117,Chicken 65,2024-08-01,07:40:56,Delivered,1769.02
119,444,111,"Parotta, Salna",2024-03-15,23:26:15,Delivered,3137.62
120,4,117,Paper Roast Dosa,2024-03-28,16:39:53,Delivered,3756.82
121,323,182,Chicken Tikka Roll,2024-01-18,23:53:25,Delivered,2540.39
122,341,177,Mixed Grill Platter,2025-07-09,06:33:17,Preparing,3527.67
123,446,144,Chicken Biryani,2024-03-23,22:16:51,Delivered,3170.25
124,204,196,Pongal,2025-07-19,20:12:20,Delivered,1909.96
125,440,200,Sizzler,2025-04-25,15:32:58,Delivered,3390.46
126,468,145,Pongal,2024-02-22,00:24:28,Delivered,3507.24
127,415,188,Chicken Tikka Roll,2024-09-25,13:04:36,Delivered,1310.88
128,197,175,Family Combo,2024-07-21,08:56:55,Delivered,3840.87
129,122,131,Ghee Roast Dosa,2024-11-12,21:33:25,Cancelled,2600.09
130,281,103,Steam Dosa,2025-04-24,15:25:20,Delivered,1712.42
131,38,187,Ferrero Rocher Shake,2024-03-11,09:58:40,Delivered,1561.65
132,319,177,Upma,2024-09-30,17:37:49,Delivered,120.1
133,91,127,Mixed Grill Platter,2024-01-14,07:18:33,Delivered,3528.58
134,197,130,Chicken 65,2025-06-03,22:58:48,Delivered,2461.16
135,429,130,Paper Roast Dosa,2025-05-28,04:19:58,Delivered,869.25
136,47,185,Lamb Burger,2025-05-22,16:05:28,Delivered,583.66
137,154,180,"Idli, Vada",2024-11-19,17:18:16,Delivered,3873.32
138,140,175,Mango Lassi,2025-01-29,19:15:31,Delivered,1173.21
139,492,154,Butter Chicken,2025-08-20,09:22:58,Delivered,3733.84
140,113,144,Mutton Samosa,2024-10-30,05:20:45,Delivered,509.71
141,416,187,Paper Roast Dosa,2024-12-20,11:41:49,Delivered,3234.66
142,435,160,Family Combo,2024-01-31,07:53:09,Delivered,2911.04
143,386,155,Mutton Seekh Roll,2025-07-30,09:51:16,Delivered,3585.25
144,292,117,"Dal Makhani, Naan",2025-01-28,20:27:11,Delivered,1202.98
145,39,141,"Dal Makhani, Naan",2025-02-13,05:15:25,Preparing,3966.72
146,82,150,Mutton Biryani,2024-12-04,14:23:10,Delivered,117.01
147,292,120,Guntur Idli,2024-04-20,23:53:48,Delivered,735.12
148,54,151,Steam Dosa,2024-09-11,19:30:55,Delivered,632.91
149,447,172,Tandoori Chicken,2024-02-20,20:31:43,Delivered,1623.38
150,493,140,Chicken Tikka Roll,2024-03-01,23:28:35,Delivered,927.07
151,82,168,Lamb Burger,2024-01-29,09:30:55,Delivered,1560.33
152,71,135,Masala Dosa,2024-01-31,04:27:47,Delivered,3893.62
153,323,159,Chicken Biryani,2024-07-19,04:52:45,Cancelled,1273.11
154,50,115,Baida Roti,2024-03-18,04:48:25,Preparing,1642
155,456,187,Baida Roti,2025-03-24,13:06:30,Preparing,1109.71
156,359,135,Rava Idli,2024-06-30,12:02:42,Delivered,1031.61
157,266,132,Mango Lassi,2024-10-20,03:48:30,Delivered,3806.99
158,242,124,Lamb Burger,2024-11-18,10:29:53,Delivered,172.52
159,110,198,All American Burger,2024-07-31,10:27:22,Delivered,3211.83
160,482,132,Upma,2025-03-01,20:25:14,Delivered,1887.44
161,115,161,Mutton Biryani,2025-02-04,07:59:16,Delivered,233.55
162,215,195,Rava Idli,2024-09-08,07:49:45,Cancelled,330.83
163,347,113,Mango Lassi,2024-08-27,17:57:43,Delivered,818.75
164,374,162,Paper Roast Dosa,2024-03-09,22:14:45,Delivered,289.47
165,333,152,Special Chicken Biryani,2025-06-16,03:34:52,Delivered,1210.15
166,308,117,Chicken Tikka Roll,2024-05-27,06:47:11,Delivered,1447.68
167,473,102,Poori Masala,2024-12-04,00:52:05,Delivered,1516.18
168,70,184,Lamb Burger,2025-03-05,17:32:55,Cancelled,678.34
169,108,188,Guntur Idli,2025-03-25,13:13:13,Cancelled,2311.66
170,303,106,Tandoori Chicken,2025-03-09,05:55:03,Delivered,2841.6
171,437,105,"Dal Makhani, Naan",2025-08-31,03:28:34,Delivered,3335.23
172,61,112,Chicken 65,2025-01-05,13:36:16,Delivered,2507.97
173,348,136,Ferrero Rocher Shake,2025-08-02,03:35:14,Delivered,3776.1
174,59,154,"Parotta, Salna",2024-06-12,20:53:38,Delivered,543.04
175,58,190,"Dal Makhani, Naan",2025-03-31,06:47:21,Delivered,3619.85
176,128,105,Mango Lassi,2024-09-30,12:53:53,Delivered,871.18
177,91,124,Bisi Bele Bath,2024-04-08,09:11:04,Delivered,1525.84
178,46,160,All American Burger,2024-01-30,20:09:51,Delivered,1575.53
179,300,161,Filter Coffee,2025-06-10,04:15:29,Delivered,3448.03
180,5,137,Steam Dosa,2025-08-20,15:34:27,On the way,1121.75
181,398,147,Ghee Roast Dosa,2024-09-15,03:16:04,Delivered,3661.2
182,296,116,Keema Pav,2025-06-02,06:16:34,Delivered,2066.9
183,205,151,Veg Biryani,2025-02-16,00:05:32,Delivered,1998.1
184,158,112,Grill Chicken,2025-07-19,03:40:12,Delivered,516.66
185,328,174,Chicken Steak,2024-02-14,03:46:37,Delivered,3437.19
186,494,133,Steam Dosa,2024-08-04,03:05:53,Delivered,820.37
187,449,189,Chicken 65,2024-09-25,05:45:02,Preparing,1556.24
188,61,151,"Dal Makhani, Naan",2024-01-13,07:42:37,Delivered,3882.24
189,281,165,Bisi Bele Bath,2025-09-27,20:09:34,Delivered,3400.45
190,308,177,Paper Roast Dosa,2024-08-29,05:55:34,Delivered,890.72
191,94,182,Sizzler,2025-06-09,02:08:46,Delivered,1576.22
192,317,198,Tasting Menu,2025-01-25,00:32:40,Delivered,1046.69
193,347,126,Chilli Chicken,2024-09-19,01:11:11,Delivered,2470.74
194,243,110,Rava Idli,2024-01-31,15:47:41,On the way,287.74
195,425,177,Filter Coffee,2024-11-03,10:55:18,Delivered,3632.62
196,309,194,Fish Biryani,2025-04-05,01:15:01,Delivered,1956.54
197,139,150,Fries,2025-04-30,03:44:29,Cancelled,2736.18
198,436,179,Butter Chicken,2025-06-04,00:54:33,Cancelled,3857.68
199,215,194,"Dal Makhani, Naan",2024-06-15,01:14:49,Delivered,3185.32
200,487,147,Tandoori Chicken,2024-01-31,00:42:41,On the way,3692.44
201,46,157,Chicken 65,2025-09-05,17:56:09,Delivered,113.4
202,422,107,Chilli Chicken,2025-04-12,10:07:48,Delivered,2971.55
203,123,132,Paper Roast Dosa,2024-04-08,05:59:52,Delivered,3556.2
204,353,136,"Parotta, Salna",2025-05-07,06:12:57,Delivered,485.3
205,403,175,Pongal,2024-10-15,01:11:21,Delivered,2397.94
206,164,116,Paper Roast Dosa,2024-11-23,22:35:46,Delivered,3945.01
207,236,165,Rava Idli,2025-08-22,16:23:49,Delivered,3450.59
208,313,137,Tandoori Chicken,2024-01-23,08:18:52,Delivered,1078.79
209,397,130,"Parotta, Salna",2025-06-26,07:48:44,Cancelled,659.97
210,34,177,Chicken Steak,2024-05-25,22:13:19,Delivered,124.82
211,162,189,Special Chicken Biryani,2024-02-08,20:43:24,Delivered,1988.88
212,20,101,Veg Biryani,2024-12-07,08:00:01,Delivered,1513.75
213,222,169,Bisi Bele Bath,2025-04-29,06:07:17,Delivered,3384.52
214,27,130,Butter Chicken,2024-08-28,17:06:18,Delivered,1371.97
215,152,190,Grill Chicken,2025-08-15,01:00:34,Delivered,2532.97
216,89,166,Mixed Grill Platter,2024-06-09,10:18:58,Delivered,2613.93
217,32,141,Keema Pav,2024-07-16,08:22:32,Cancelled,2577.71
218,136,180,Tandoori Chicken,2024-11-15,20:06:27,Delivered,2145.01
219,91,160,Fries,2025-01-12,08:46:30,Delivered,2566.77
220,246,140,Chelo Kebab,2025-02-11,13:55:13,Delivered,2263.55
221,369,179,Tasting Menu,2025-07-31,04:21:46,On the way,2632.46
222,227,189,Bisi Bele Bath,2024-11-12,18:35:05,Cancelled,1007.87
223,494,193,Grill Chicken,2025-03-27,20:19:54,Delivered,2195.76
224,423,150,Poori Masala,2024-11-04,05:52:44,Delivered,3585.91
225,7,173,Ferrero Rocher Shake,2024-04-23,01:39:02,Delivered,3282.54
226,373,179,Mutton Seekh Roll,2025-07-26,09:26:50,Delivered,3967.79
227,475,110,Chicken Steak,2024-12-24,03:50:58,Delivered,3068.86
228,58,193,Guntur Idli,2024-04-27,01:29:02,Delivered,2899.81
229,125,125,Chicken Biryani,2024-06-23,13:06:17,Cancelled,643.45
230,468,146,Chelo Kebab,2025-03-28,02:11:09,Preparing,2729.72
231,359,179,Guntur Idli,2024-04-06,12:24:27,Delivered,3212.84
232,216,195,Ghee Roast Dosa,2024-02-23,13:01:04,Delivered,2439.71
233,25,141,Lamb Burger,2024-08-19,16:19:40,Delivered,3047.19
234,173,156,Peri Peri Burger,2024-05-16,08:51:46,Cancelled,782.43
235,91,174,Chicken 65,2025-08-22,12:48:43,Delivered,2408.78
236,65,182,Family Combo,2024-10-05,09:44:00,Delivered,427.71
237,288,180,Keema Pav,2025-09-19,18:45:10,Cancelled,1059.67
238,109,191,Upma,2024-01-19,16:19:11,Delivered,242.59
239,493,166,Keema Pav,2024-04-29,11:35:34,Preparing,345.94
240,206,189,Keema Pav,2024-06-02,01:25:48,Delivered,1923.55
241,144,189,"Parotta, Salna",2025-04-25,01:09:29,Delivered,317.6
242,441,156,Lamb Burger,2025-01-01,12:56:49,Delivered,2570.6
243,134,118,Chicken Steak,2024-06-21,02:17:00,Delivered,1462.39
244,92,189,Lamb Burger,2024-02-15,06:37:37,Cancelled,3785.16
245,89,179,"Idli, Vada",2024-10-19,12:38:31,Delivered,2187.3
246,292,116,Peri Peri Burger,2025-07-14,08:04:06,Cancelled,2869.62
247,194,156,Steam Dosa,2025-06-25,13:55:13,Delivered,2018.89
248,205,186,Mutton Samosa,2024-09-21,10:49:36,Delivered,1690.28
249,347,135,Special Chicken Biryani,2025-08-25,11:44:09,Cancelled,3169.07
250,260,142,Steam Dosa,2025-06-14,19:24:11,Preparing,2941.95
251,157,193,Family Combo,2024-05-29,09:04:48,Delivered,537.92
252,333,188,Fish Biryani,2024-06-22,12:43:20,Cancelled,1855.88
253,472,198,Guntur Idli,2024-08-27,08:13:20,Delivered,817.57
254,302,190,Paper Roast Dosa,2024-07-18,02:01:49,Delivered,3696.32
255,189,136,Poori Masala,2025-04-11,15:16:35,Preparing,1357.54
256,144,175,Chicken Steak,2025-01-12,04:23:57,Delivered,1699.51
257,382,166,Mutton Seekh Roll,2024-12-15,11:25:21,Delivered,3201.92
258,80,153,Sizzler,2025-02-21,10:33:43,Delivered,815.18
259,7,133,Fries,2024-01-09,20:53:02,Delivered,3792.93
260,213,123,Chicken Steak,2024-03-02,17:18:59,Delivered,964.67
261,124,137,Chelo Kebab,2024-09-17,19:50:14,Preparing,934.98
262,307,165,"Dal Makhani, Naan",2024-06-26,13:35:54,Delivered,1616.16
263,383,160,Poori Masala,2024-08-21,23:53:50,Cancelled,1684.57
264,464,172,Mutton Korma,2024-02-10,03:11:29,Delivered,554.57
265,268,190,Chicken Tikka Roll,2024-12-19,11:37:18,Preparing,3424.68
266,314,155,Ferrero Rocher Shake,2024-03-08,22:39:05,Delivered,697.6
267,470,183,Keema Pav,2024-05-10,21:30:36,Delivered,1458.25
268,28,157,Chilli Chicken,2024-09-29,11:40:55,Delivered,1822.36
269,278,185,"Idli, Vada",2024-11-12,16:30:55,Delivered,3504.02
270,220,178,Paper Roast Dosa,2024-01-18,18:53:20,Delivered,929.31
271,5,159,Mutton Seekh Roll,2025-04-14,11:19:15,Delivered,1609.19
272,170,199,Chicken Biryani,2024-03-04,02:43:29,Delivered,1152.04
273,193,137,Veg Biryani,2025-08-16,03:05:10,Delivered,526.43
274,100,147,Sizzler,2025-08-09,14:14:31,Delivered,1997.96
275,102,169,Steam Dosa,2025-08-24,18:11:28,Delivered,2624.27
276,14,165,"Parotta, Salna",2025-03-02,09:17:20,Delivered,2135.92
277,49,146,Steam Dosa,2024-11-29,21:10:43,Delivered,2226.37
278,275,180,Mixed Grill Platter,2025-07-01,15:23:16,Delivered,1676.37
279,241,155,Seekh Kebab,2025-09-01,22:57:00,Delivered,2024.61
280,326,193,Tasting Menu,2024-03-20,18:36:14,Cancelled,2966
281,155,105,Ferrero Rocher Shake,2025-08-29,15:29:15,Delivered,1904.01
282,148,113,Fish Biryani,2024-08-29,16:26:02,Delivered,1334.58
283,8,175,Chicken 65,2024-06-01,09:44:50,Delivered,874.44
284,277,198,Steam Dosa,2024-01-01,19:18:14,Cancelled,3031.76
285,69,154,Special Chicken Biryani,2024-06-03,23:02:53,Delivered,299.19
286,388,136,Sizzler,2024-04-12,07:24:38,Delivered,119.38
287,195,139,"Dal Makhani, Naan",2025-08-08,22:06:39,Delivered,1174.27
288,325,196,Paper Roast Dosa,2024-08-23,14:47:10,Cancelled,3182.54
289,61,195,Chicken Biryani,2024-05-25,00:46:10,Delivered,469.01
290,298,116,Mixed Grill Platter,2024-04-09,17:34:19,Cancelled,721.34
291,62,199,Fries,2025-01-30,04:10:16,Delivered,1160.85
292,466,120,Keema Pav,2024-10-06,17:02:00,Delivered,689.07
293,434,140,Lamb Burger,2024-02-28,16:40:10,Delivered,2804.42
294,41,128,Baida Roti,2024-10-11,23:58:46,Delivered,1718.29
295,488,103,Chicken 65,2025-01-22,01:10:08,Delivered,1016.65
296,223,111,Tasting Menu,2025-03-13,16:08:34,Delivered,1548.08
297,144,175,Butter Chicken,2024-04-09,02:21:29,Delivered,1962.41
298,268,191,Chicken Biryani,2024-11-18,20:21:46,Delivered,589.7
299,407,103,Baida Roti,2024-02-24,12:21:08,On the way,3009.64
300,352,103,Filter Coffee,2024-11-14,21:45:33,Cancelled,1095.61
301,146,136,Ghee Roast Dosa,2025-09-25,10:47:55,Delivered,2226.28
302,348,123,Mutton Biryani,2025-04-13,07:28:46,Delivered,310.42
303,299,171,Guntur Idli,2024-08-19,02:48:51,Cancelled,2859.89
304,280,109,Double Masala Biryani,2025-03-13,14:46:33,Delivered,1129.18
305,20,138,Veg Biryani,2024-11-13,08:49:43,Cancelled,852.5
306,374,186,Mango Lassi,2024-02-23,02:28:59,Delivered,3842.21
307,149,177,Paper Roast Dosa,2024-01-25,10:37:19,Delivered,1417.08
308,356,127,Grill Chicken,2025-08-22,08:28:09,Delivered,2829.48
309,190,177,Mutton Biryani,2024-01-19,18:32:02,Delivered,601.88
310,326,119,"Parotta, Salna",2024-01-01,19:23:27,Delivered,620.76
311,342,173,Ferrero Rocher Shake,2024-12-23,07:05:55,Delivered,1018.76
312,83,138,Chicken Steak,2024-09-07,23:36:17,Delivered,2078.51
313,396,128,"Idli, Vada",2025-07-02,10:10:44,Cancelled,813.38
314,328,144,Baida Roti,2024-11-10,03:47:57,Delivered,3791.7
315,462,167,Chelo Kebab,2024-07-14,23:59:21,Delivered,1651.04
316,453,108,Filter Coffee,2024-02-19,21:34:29,Delivered,2522.94
317,273,172,Special Chicken Biryani,2024-11-12,16:18:04,Delivered,2332.27
318,197,198,Ferrero Rocher Shake,2025-07-04,20:57:05,Delivered,2327.11
319,356,118,"Parotta, Salna",2024-12-27,11:10:11,Delivered,1161
320,451,129,Mutton Samosa,2024-01-28,08:46:39,Delivered,2111.54
321,197,140,Butter Chicken,2025-06-04,03:50:58,Delivered,1934.8
322,409,152,Ghee Roast Dosa,2025-05-24,04:27:58,Cancelled,3932.41
323,469,165,Mutton Biryani,2024-01-14,05:12:28,Preparing,1873.16
324,492,174,Double Masala Biryani,2025-05-03,02:25:59,Delivered,892.79
325,172,187,Butter Chicken,2024-01-17,05:21:23,Preparing,974.63
326,341,192,All American Burger,2025-03-17,23:12:57,Preparing,3397.35
327,42,161,"Idli, Vada",2025-06-15,03:43:52,On the way,2736.52
328,391,158,Lamb Burger,2024-01-03,16:17:18,Delivered,1220.12
329,314,146,Guntur Idli,2024-02-20,22:27:12,Delivered,2840.81
330,339,119,Grill Chicken,2025-03-03,21:05:46,Delivered,3147.36
331,122,160,Mutton Biryani,2024-06-27,22:54:02,Delivered,2339.85
332,353,167,"Idli, Vada",2024-08-14,21:30:41,Delivered,2746.75
333,200,109,Mutton Korma,2025-09-29,17:30:18,Delivered,3401.5
334,447,112,Mutton Samosa,2024-06-02,13:30:15,Delivered,3571.03
335,95,188,Keema Pav,2024-06-08,13:23:15,Delivered,96.73
336,52,168,Chicken Steak,2025-08-13,22:41:59,Delivered,2106.86
337,68,164,Baida Roti,2024-08-01,02:12:43,Cancelled,2366.28
338,27,128,Mutton Seekh Roll,2024-03-04,11:12:40,Delivered,1883.8
339,174,188,Chicken Tikka Roll,2024-04-17,09:55:03,Delivered,2895.54
340,206,142,Poori Masala,2025-05-16,03:48:39,Delivered,891.09
341,246,187,Chicken Steak,2024-10-15,08:03:07,Delivered,754.18
342,435,171,Lamb Burger,2024-03-23,13:30:32,Delivered,2671.48
343,19,183,Mango Lassi,2024-02-08,03:36:58,Delivered,2381.62
344,175,121,Masala Dosa,2024-06-26,04:17:56,Delivered,3946.02
345,451,110,Seekh Kebab,2024-05-25,15:26:36,Delivered,607.76
346,434,105,Special Chicken Biryani,2024-07-24,05:09:17,Delivered,3651.72
347,408,150,Chelo Kebab,2025-07-15,18:58:50,Delivered,2688.54
348,16,162,Butter Chicken,2024-02-21,12:18:40,Preparing,536.6
349,26,103,Veg Biryani,2025-01-27,18:18:34,On the way,502.85
350,115,186,Tandoori Paneer Burger,2025-07-20,04:38:04,Delivered,3727.45
351,472,128,Bisi Bele Bath,2024-01-28,22:36:41,Delivered,492.05
352,334,169,Chicken 65,2025-07-09,04:35:13,Cancelled,2511.04
353,457,141,Masala Dosa,2024-05-08,12:34:25,Preparing,2818.25
354,32,175,Peri Peri Burger,2025-09-21,07:57:00,Delivered,3896.33
355,85,178,Guntur Idli,2025-06-03,06:19:29,Delivered,2246.89
356,327,165,Ferrero Rocher Shake,2025-05-03,16:22:20,Delivered,786.46
357,70,161,Ferrero Rocher Shake,2024-07-13,03:40:07,Preparing,235.8
358,177,163,All American Burger,2024-10-05,02:21:38,Delivered,105.36
359,78,180,Pongal,2025-09-05,03:38:02,Delivered,3657.38
360,158,133,Paper Roast Dosa,2025-06-02,20:11:34,Delivered,2840.17
361,369,193,Ghee Roast Dosa,2025-09-18,22:53:21,Delivered,1641.27
362,326,120,All American Burger,2024-03-07,22:20:47,Delivered,2907.08
363,422,155,Filter Coffee,2024-05-05,15:56:56,Preparing,2643.03
364,215,111,Baida Roti,2025-03-21,22:30:54,Delivered,1549.9
365,347,133,Pongal,2025-07-10,13:46:35,Delivered,3837.71
366,49,152,Fries,2024-08-16,20:31:12,Delivered,2376.97
367,224,186,"Idli, Vada",2024-01-19,11:36:25,Delivered,1335.81
368,494,177,Chicken 65,2025-03-29,22:04:00,Cancelled,3584.41
369,411,101,Fish Biryani,2025-02-25,10:29:48,Delivered,2052.37
370,334,153,Chicken Biryani,2025-08-21,15:11:37,Delivered,3770.92
